field,included,type
cataloged_item_type,yes,keywords
cat_num,yes,text
institution_acronym,yes,keywords
collection_cde,yes,keywords
collectors,yes,comma separated list put into key words
continent_ocean,yes,keywords
country,yes,keywords
state_prov,yes,keywords
county,yes,keywords
dec_lat,yes,decimal
dec_long,yes,decimal
datum,yes,text
coordinateuncertaintyinmeters,yes,decimal
scientific_name,yes,text
identifiedby,yes,text
kingdom,yes,text
phylum,yes,text
family,yes,text
genus,yes,text
species,yes,text
subspecies,yes,text
relatedinformation,yes,url link
year,yes,integer
month,yes,integer
day,yes,integer
taxon_rank,yes,keywords
lastdate,,
lastuser,,
collection_object_id,,
enteredby,,
entereddate,,
accn_id,,
collection_id,,
collection,,
minimum_elevation,,
maximum_elevation,,
orig_elev_units,,
identification_id,,
individualcount,,
preparators,,
field_num,,
othercatalognumbers,,
genbanknum,,
relatedcatalogeditems,,
typestatus,,
sex,,
parts,,
partdetail,,
accession,,
began_date,,
ended_date,,
verbatim_date,,
collecting_event_id,,
higher_geog,,
sea,,
geog_auth_rec_id,,
spec_locality,,
min_elev_in_m,,
max_elev_in_m,,
locality_id,,
orig_lat_long_units,,
verbatim_coordinates,,
made_date,,
remarks,,
habitat,,
associated_species,,
encumbrances,,
taxa_formula,,
full_taxon_name,,
phylclass,,
phylorder,,
subfamily,,
tribe,,
subtribe,,
infraspecific_rank,,
author_text,,
nomenclatural_code,,
guid,,
depth_units,,
min_depth,,
max_depth,,
min_depth_in_m,,
max_depth_in_m,,
collecting_method,,
collecting_source,,
verificationstatus,,
imageurl,,
catalognumbertext,,
collectornumber,,
verbatimelevation,,
id_sensu,,
verbatim_locality,,
event_assigned_by_agent,,
event_assigned_date,,
specimen_event_remark,,
specimen_event_type,,
coll_event_remarks,,
collecting_event_name,,
georeference_source,,
georeference_protocol,,
locality_name,,
previousidentifications,,
use_license_url,,
identification_remarks,,
locality_remarks,,
formatted_scientific_name,,
ispublished,,
has_tissues,,
locality_search_terms,,
json_locality,,
attributedetail,,
guid_prefix,,
catalognumberint,,
lastpartlocation,,
organism_id,,
superfamily,,
suborder,,
media,,
creator,,
subject,,
materials,,
copyright_holder,,
culture_of_origin,,
culture_of_use,,
formation,,
member,,
event_count,,
locality_count,,
age,,
identifiers,,
superorder,,
preparatornumber,,
af,,
nk,,
specimen_event_id,,
scientificnameid,,
related_record_cache,,
detected,,
examined_for,,
not_detected,,
not_examined_for,,
ear_from_notch,,
hind_foot_with_claw,,
tail_length,,
total_length,,
weight,,
reproductive_data,,
doi,,
collection_preferred_identifiers,,
public_accn_id,,
rights,,
citations,,
media_tags,,
