guid_prefix,type
ACUNHC:Bird,biological
ACUNHC:Ento,biological
ACUNHC:Fish,biological
ACUNHC:Herp,biological
ACUNHC:Inv,biological
ACUNHC:Mamm,biological
ACUNHC:Paleo,biological
ALMNH:Anc,cultural
ALMNH:Arc,cultural
ALMNH:Bird,biological
ALMNH:EH,cultural
ALMNH:Ento,biological
ALMNH:ES,geological
ALMNH:Geo,geological
ALMNH:Herp,biological
ALMNH:Inv,biological
ALMNH:Mamm,biological
ALMNH:Paleo,biological
ANSP:Host,biological
ANSP:Para,biological
APSU:Bird,biological
APSU:Fish,biological
APSU:Herp,biological
APSU:Mamm,biological
ASNHC:Bird,biological
ASNHC:Herb,biological
ASNHC:Herp,biological
ASNHC:Mamm,biological
ASNHC:Para,biological
ASUMZ:Bird,biological
ASUMZ:Bivalve,biological
ASUMZ:Ento,biological
ASUMZ:Fish,biological
ASUMZ:Herp,biological
ASUMZ:Invert,biological
ASUMZ:Mamm,biological
BIOAPT:LEGECC,biological
BIOAPT:UABB,biological
BSUNH:Bird,biological
BSUNH:Fish,biological
BSUNH:Herb,biological
BSUNH:Herp,biological
BSUNH:Inv,biological
BSUNH:Mamm,biological
BYU:Bird,biological
BYU:Edu,biological
BYU:Fish,biological
BYU:Herp,biological
BYU:Mamm,biological
BYU:Teach,biological
BYUObs:Bird,biological
BYUObs:Herp,biological
BYUObs:Mamm,biological
CDSC:Arch,cultural
CDSC:Bird,biological
CDSC:Ento,biological
CDSC:Geol,geological
CDSC:Herb,biological
CDSC:Herp,biological
CDSC:Inv,biological
CDSC:Mamm,biological
CHAS:Art,cultural
CHAS:AV,cultural
CHAS:Bird,biological
CHAS:Egg,biological
CHAS:EH,cultural
CHAS:Ento,biological
CHAS:ES,biological
CHAS:Fish,biological
CHAS:Herb,biological
CHAS:Herp,biological
CHAS:Inv,biological
CHAS:Mamm,biological
CHAS:Teach,biological
COA:Bird,biological
COA:Egg,biological
COA:Ento,biological
COA:Herp,biological
COA:Mamm,biological
COA:Rept,biological
CRCM:Bird,biological
CRCM:Fish,biological
CRCM:Herp,biological
CRCM:Mamm,biological
CRCM:Paleo,biological
CRCM:Teach,biological
CSULB:Bird,biological
CSULB:Fish,biological
CSULB:Herp,biological
CSULB:Mamm,biological
DGR:Bird,biological
DGR:Ento,biological
DGR:Mamm,biological
DMNS:Bird,biological
DMNS:Egg,biological
DMNS:Herp,biological
DMNS:Inv,biological
DMNS:Mamm,biological
DMNS:Para,biological
HMCM:Arthro,biological
HMCM:Bird,biological
HMCM:Geo,geological
HMCM:Herb,biological
HMCM:Herp,biological
HMCM:Mamm,biological
HSUVM:Amph,biological
HSUVM:Mamm,biological
HSUVM:Rept,biological
HWML:Para,biological
JFBM:Fish,biological
JFBM:Herp,biological
JFBM:Inv,biological
JSNM:Egg,biological
JSNM:Herb,biological
JSNM:Paleo,biological
KNWR:Ento,biological
KNWR:Env,biological
KNWR:Herb,biological
KNWR:Inv,biological
KNWRObs:Bird,biological
KNWRObs:Fish,biological
KNWRObs:Herb,biological
KNWRObs:Mamm,biological
KSB:Mamm,biological
KSB:Teach,biological
KWP:Ento,biological
LINGU:Herp,biological
MLZ:Bird,biological
MLZ:Egg,biological
MLZ:Fish,biological
MLZ:Herb,biological
MLZ:Inv,biological
MLZ:Mamm,biological
MLZObs:Fish,biological
MMNH:Bird,biological
MMNH:Edu,biological
MMNH:Mamm,biological
MMNS:Birds,biological
MMNS:CO,biological
MMNS:Crust,biological
MMNS:Ento,biological
MMNS:Fishes,biological
MMNS:GRC,biological
MMNS:Herp,biological
MMNS:IP,biological
MMNS:IZ,biological
MMNS:Mala,biological
MMNS:Mamm,biological
MMNS:PB,biological
MMNS:Photo,biological
MMNS:RM,geological
MMNS:VP,biological
